Employee ID,Engagement Score,Satisfaction Score,Work-Life Balance Score,FirstName,LastName,StartDate,ExitDate,Title,Supervisor,ADEmail,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,JobFunctionDescription,GenderCode,LocationCode,MaritalDesc,Performance Score,Current Employee Rating,Education,JobSatisfaction,JobInvolvement,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TrainingTimesLastYear,MonthlyIncome,PercentSalaryHike,OverTime,StandardHours,DistanceFromHome,EducationField,AgeAtExit,TenureDays,IsManager,OverTimeBinary,DistanceFromHome_norm,TenureDays_norm,EngagementScore_inv,SatisfactionScore_inv,WorkLife_inv,JobInvolvement_inv,JobSatisfaction_inv,TurnoverScore
2429.0,3.0,4.0,2.0,Vincent,Ramsey,19-Apr-19,02-Jul-20,Production Manager,Kristy Taylor,vincent.ramsey@bilearner.com,BPC,Active,Part-Time,Zone C,Temporary,Involuntary,Condition control raise.,Production       ,Field Operations,Laborer,Male,68494.0,Widowed,Fully Meets,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2269.0,14.0,No,80.0,1.0,Management,21.0,440.0,1,0.0,0.0,0.26913580246913577,0.5,0.25,0.75,0.6666666666666667,0.75,0.4353266994705879
3058.0,4.0,1.0,1.0,Amirah,Cline,11-Feb-19,30-Jul-20,Production Technician II,Shelia Goodwin,amirah.cline@bilearner.com,PYZ,Leave of Absence,Part-Time,Zone A,Temporary,Involuntary,Loss sense above charge part describe.,Production       ,Yard (Material Handling),Safety Manager,Male,93290.0,Divorced,Fully Meets,3.0,3.0,3.0,4.0,0.0,3.0,0.0,0.0,4585.0,21.0,Yes,80.0,29.0,Business Administration,54.0,535.0,0,1.0,0.9999999999999999,0.3277777777777777,0.25,1.0,1.0,0.0,0.5,0.6524557974310563
2239.0,1.0,3.0,4.0,Dario,Whitney,10-Mar-23,04-Apr-23,IT Manager - DB,Sean Hill,dario.whitney@bilearner.com,SVG,Active,Full-Time,Zone C,Part-Time,Retirement,Future where and.,IT/IS,Catv,Manager,Male,62468.0,Divorced,Fully Meets,5.0,1.0,2.0,3.0,2.0,1.0,2.0,3.0,3295.0,13.0,No,80.0,4.0,Management,60.0,25.0,1,0.0,0.10714285714285714,0.012962962962962963,1.0,0.5,0.25,0.33333333333333326,0.75,0.5104207480438524
1533.0,1.0,3.0,2.0,Angelo,Fox,13-Mar-21,19-Nov-21,Production Technician I,Larry Miller,angelo.fox@bilearner.com,TNS,Leave of Absence,Contract,Zone C,Full-Time,Resignation,Civil scientist green table.,Production       ,Aerial,Technician,Female,20157.0,Widowed,Fully Meets,3.0,4.0,1.0,3.0,7.0,1.0,7.0,2.0,4960.0,12.0,No,80.0,14.0,Technical Engineering,31.0,251.0,0,0.0,0.4642857142857143,0.15246913580246912,1.0,0.5,0.75,0.33333333333333326,1.0,0.5968722916805279
3555.0,2.0,5.0,1.0,Matilda,Randall,06-Jan-23,07-May-23,Network Engineer,Daniel Wolf,matilda.randall@bilearner.com,EW,Active,Full-Time,Zone C,Temporary,Resignation,Choose list of all nor stock.,Sales,General - Eng,Supervisor,Female,48104.0,Widowed,Fully Meets,3.0,3.0,1.0,1.0,7.0,3.0,6.0,2.0,2374.0,5.0,No,80.0,6.0,Management,35.0,121.0,0,0.0,0.17857142857142855,0.07222222222222223,0.75,0.0,1.0,1.0,1.0,0.5760908022342921
3305.0,5.0,4.0,5.0,Jace,Galloway,30-Nov-20,23-Oct-22,Administrative Assistant,Alex Lopez,jace.galloway@bilearner.com,WBL,Voluntarily Terminated,Contract,Zone C,Part-Time,Involuntary,Billion approach middle behind national describe.,Production       ,Project Management - Con,Model Assistant,Female,18362.0,Widowed,Exceeds,3.0,3.0,3.0,4.0,1.0,4.0,0.0,3.0,4526.0,16.0,Yes,80.0,16.0,Management,30.0,692.0,0,1.0,0.5357142857142857,0.4246913580246913,0.0,0.25,0.0,0.0,0.5,0.32548665408289124
2008.0,1.0,2.0,2.0,Kaila,Johnston,15-Jul-19,13-Jan-20,Production Technician I,Michelle Taylor,kaila.johnston@bilearner.com,BPC,Active,Part-Time,Zone A,Temporary,Voluntary,Follow yourself child to foot.,Production       ,Field Operations,Lineman,Female,67443.0,Widowed,Fully Meets,3.0,1.0,4.0,3.0,7.0,7.0,7.0,1.0,7553.0,12.0,Yes,80.0,14.0,Management,78.0,182.0,0,1.0,0.4642857142857143,0.10987654320987654,1.0,0.75,0.75,0.33333333333333326,0.25,0.6688967587897823
2838.0,4.0,4.0,2.0,Gloria,Marks,09-Sep-21,05-Nov-21,Senior BI Developer,Michele Young,gloria.marks@bilearner.com,PYZ,Active,Part-Time,Zone A,Temporary,Voluntary,Bag physical goal will way against either.,Production       ,General - Sga,Model Assistant,Male,93005.0,Single,Fully Meets,3.0,3.0,1.0,2.0,4.0,1.0,3.0,3.0,7964.0,7.0,No,80.0,20.0,Management,76.0,57.0,0,0.0,0.6785714285714285,0.03271604938271605,0.25,0.25,0.75,0.6666666666666667,1.0,0.5290172350886438
1019.0,1.0,3.0,5.0,Kamryn,Herrera,14-Oct-22,28-Jul-23,Software Engineer,Sara Holland,kamryn.herrera@bilearner.com,EW,Voluntarily Terminated,Full-Time,Zone A,Temporary,Retirement,Article tough away forward home. Night author so.,Software Engineering,Fielders,Engineer,Male,77974.0,Widowed,Fully Meets,3.0,4.0,4.0,2.0,8.0,3.0,7.0,3.0,15427.0,16.0,No,80.0,2.0,Computer Science,44.0,287.0,0,0.0,0.03571428571428571,0.17469135802469135,1.0,0.5,0.0,0.6666666666666667,0.25,0.42049883017734146
1292.0,1.0,4.0,3.0,Larissa,Warner,27-Oct-18,,Production Technician I,Amy Hess,larissa.warner@bilearner.com,BPC,Active,Full-Time,Zone A,Part-Time,Unk,,Production       ,Engineers,Engineer,Female,28931.0,Divorced,Fully Meets,3.0,3.0,2.0,3.0,0.0,7.0,7.0,2.0,4485.0,12.0,No,80.0,3.0,Engineering,,359.0,0,0.0,0.07142857142857142,0.2191358024691358,1.0,0.25,0.5,0.33333333333333326,0.75,0.40905535870065524
1124.0,3.0,2.0,3.0,Pierce,Robbins,24-Dec-19,11-Nov-22,Production Manager,Monique Hudson DDS,pierce.robbins@bilearner.com,PL,Active,Full-Time,Zone A,Full-Time,Involuntary,Strategy fear tough wife here now.,Production       ,Engineers,Technician,Female,80817.0,Married,Fully Meets,3.0,3.0,3.0,3.0,18.0,15.0,15.0,5.0,19537.0,13.0,No,80.0,6.0,Technical Engineering,36.0,1053.0,1,0.0,0.17857142857142855,0.6475308641975309,0.5,0.75,0.5,0.33333333333333326,0.5,0.3775595450493124
3265.0,4.0,3.0,2.0,Giovanni,Klein,31-Oct-18,,Data Analyst,Anna Hogan,giovanni.klein@bilearner.com,BPC,Active,Part-Time,Zone C,Full-Time,Unk,,Production       ,Aerial,Tester,Female,26076.0,Single,Fully Meets,4.0,3.0,2.0,4.0,1.0,0.0,7.0,1.0,9291.0,15.0,Yes,80.0,7.0,Management,,359.0,0,1.0,0.2142857142857143,0.2191358024691358,0.25,0.5,0.75,0.0,0.75,0.4515668263254537
1087.0,1.0,5.0,2.0,Delaney,Bruce,08-Jul-22,04-Aug-23,Software Engineer,Robert Salinas,delaney.bruce@bilearner.com,TNS,Active,Part-Time,Zone A,Part-Time,Voluntary,Party explain perhaps.,Software Engineering,Field Operations,Tower Hand,Female,18844.0,Married,Fully Meets,3.0,1.0,1.0,3.0,0.0,0.0,0.0,3.0,2322.0,13.0,No,80.0,2.0,Computer Science,48.0,392.0,0,0.0,0.03571428571428571,0.23950617283950618,1.0,0.0,0.75,0.33333333333333326,1.0,0.41998820844346735
2946.0,4.0,5.0,3.0,Dahlia,Waller,13-Sep-18,,CIO,Gloria Taylor,dahlia.waller@bilearner.com,BPC,Active,Contract,Zone A,Full-Time,Unk,,Production       ,Splicing,Accountant,Male,8439.0,Divorced,Fully Meets,3.0,3.0,5.0,4.0,4.0,0.0,8.0,1.0,6781.0,24.0,No,80.0,17.0,Management,,359.0,0,0.0,0.5714285714285714,0.2191358024691358,0.25,0.0,0.5,0.0,0.0,0.22867225959677692
